标题,总价,单价,面积,户型,楼层,建成年份,小区,区域,标签,链接,关注人数,发布时间
"视野开阔无遮挡  户型方正 采光好 业主诚心","128万","11,702元/平","109.39平米","3室2厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106119056277.html","45人关注","1年前发布"
"大竹林龙湖看江三房 采光好 视野好 小区环境好","128万","13,674元/平","93.61平米","3室2厅","高楼层                                     (共33层)","2013年","熙溪地","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106118439533.html","4人关注","1年前发布"
"新上房源 户型方正 采光好 近公园","145万","15,592元/平","93平米","3室2厅","低楼层                                     (共33层)","2012年","熙溪地","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106111864413.html","122人关注","3年前发布"
"大竹林龙湖精装三房  装修保持新 拎包入住","140万","14,875元/平","94.12平米","3室1厅","高楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106110723736.html","41人关注","3年前发布"
"户型方正 交通便利，出行方便，生活配套设施齐全","150万","15,152元/平","99平米","3室2厅","低楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106124051246.html","0人关注","9天前发布"
"龙湖品质楼盘,视野开阔，视野无遮挡采光好，双卫","150万","15,464元/平","97平米","中楼层                                     (共31层)                                                                   3室1厅","未知","未知","新江与城悠澜","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106123902186.html","0人关注","21天前发布"
"龙湖精装三房双卫，近商圈和轻轨","148万","14,728元/平","100.49平米","3室2厅","低楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106123786199.html","1人关注","30天前发布"
"龙湖悠澜精装两房 家具家电齐全 看江看别墅 安心出售","150万","15,464元/平","97平米","中楼层                                     (共33层)                                                                   3室2厅","未知","未知","新江与城悠澜","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106122558592.html","14人关注","4月前发布"
"龙湖品质三房 中庭景观 品质舒适","139万","13,114元/平","106平米","中楼层                                     (共31层)                                                                   3室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106122498690.html","11人关注","4月前发布"
"龙湖悠澜三房双卫 侧看中庭 安静视野好 随时看房","150万","15,511元/平","96.71平米","低楼层                                     (共33层)                                                                   3室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106122487294.html","1人关注","4月前发布"
"出则繁华，入则宁静。多公园环抱。","129万","13,220元/平","97.58平米","低楼层                                     (共31层)                                                                   3室2厅","未知","未知","新江与城悠澜","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106122241713.html","28人关注","4月前发布"
"户型方正 ，交通便利，出行方便，生活配套设施齐。","139万","13,349元/平","104.13平米","3室1厅","低楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;满两年;VR房源;随时看房","https://cq.ke.com/ershoufang/106121660659.html","18人关注","6月前发布"
"新江与城悠澜 3室2厅 东","130万","13,439元/平","96.74平米","3室2厅","高楼层                                     (共33层)","2019年","新江与城悠澜","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106119513870.html","8人关注","1年前发布"
"龙湖品质楼盘，采光充足，户型方正看中庭，住家安静","122万","12,512元/平","97.51平米","3室1厅","高楼层                                     (共31层)","2019年","新江与城悠澜","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106119489131.html","7人关注","1年前发布"
"大竹林  清水3房2卫  一站式生活  有车位","123万","11,338元/平","108.49平米","3室2厅","高楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106119140703.html","39人关注","1年前发布"
"龙湖次新品质楼盘，邻公园，近地铁","150万","14,227元/平","105.44平米","高楼层                                     (共31层)                                                                   3室1厅","未知","未知","新江与城悠澜","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106117259210.html","10人关注","1年前发布"
"龙湖悠澜高品质小区，3室2卫 俯瞰嘉陵江，视野开阔","135万","13,835元/平","97.58平米","3室2厅","高楼层                                     (共31层)","2018年","新江与城悠澜","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106117236242.html","6人关注","1年前发布"
"龙湖悠澜三房 业主诚心出售 随时看房 安静 视野采光好","126.8万","12,995元/平","97.58平米","低楼层                                     (共31层)                                                                   3室2厅","未知","未知","新江与城悠澜","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117153720.html","16人关注","1年前发布"
"龙湖品质楼盘，一线看江，视野好，采光充足，户型方正","122万","12,578元/平","97平米","中楼层                                     (共27层)                                                                   3室1厅","未知","未知","新江与城悠澜","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106115978477.html","5人关注","1年前发布"
"龙湖品质楼盘，朱家舒适性高，临购物商圈，生活方便","130万","12,419元/平","104.68平米","3室1厅","中楼层                                     (共33层)","2012年","江与城北区二组团","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106115076066.html","5人关注","2年前发布"
"江与城装修3房，看中庭安静，近美邻汇商圈公交站","140万","13,334元/平","105平米","3室2厅","低楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106115055739.html","12人关注","2年前发布"
"清水三房、朝小区中庭 、龙湖品质物业","127万","13,128元/平","96.74平米","中楼层                                     (共33层)                                                                   3室1厅","未知","未知","新江与城悠澜","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106114965806.html","11人关注","2年前发布"
"龙湖自住精装三房，高楼层瞰江视野好，诚心出售","140万","13,932元/平","100.49平米","3室2厅","高楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106114798598.html","82人关注","2年前发布"
"龙湖江与城三房 环境优美 视野开阔 出行方便 诚心出售","133万","13,330元/平","99.78平米","3室2厅","低楼层                                     (共33层)","2010年","江与城北区二组团","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106114162797.html","28人关注","2年前发布"
"龙湖品质小区 三房双卫 业主诚心","129万","13,211元/平","97.65平米","低楼层                                     (共27层)                                                                   3室1厅","未知","未知","新江与城悠澜","重庆渝北","满两年;VR房源;随时看房","https://cq.ke.com/ershoufang/106113906640.html","11人关注","2年前发布"
"渝北照母山下 滨江公园旁 龙湖品质 业主诚心出售","130万","13,403元/平","97平米","低楼层                                     (共27层)                                                                   3室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106113235966.html","12人关注","2年前发布"
"龙湖悠澜三房两卫 高楼层 采光好 视野开阔 侧看江","138万","14,227元/平","97平米","高楼层                                     (共27层)                                                                   3室2厅","未知","未知","新江与城悠澜","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106112929440.html","5人关注","2年前发布"
